buildingtype,primarypropertytype,zipcode,councildistrictcode,neighborhood,latitude,longitude,largestpropertyusetype,energystarscore,siteeuikbtu_sf,siteenergyusekbtu,defaultdata,compliancestatus,totalghgemissions,flag_seattle_outlier,numberofbuildings_log,largestpropertyusetypegfa_log,naturalgaskbtu_log,electricitykbtu_log,propertygfatotal_log,thirdlargestpropertyusetypegfa_log,numberoffloors_log,secondlargestpropertyusetypegfa_log,construction_era,energystar_missing,uses_steam,has_parking,building_age,gfa_per_floor,elec_ratio,steam_ratio,primary_usage_dominance,is_multipurpose,is_high_performer,is_low_performer,age_x_size,multipurpose_x_size
NonResidential,Hotel,98101,7,DOWNTOWN,47.6122,-122.33799,Hotel,60.0,81.69999695,7226362.5,False,Compliant,249.98,0,0.6931471805599453,11.390023097868895,14.059596478978326,15.18822006133273,11.390023097868895,0.0,2.5649493574615367,0.0,Historic,0,1,0,89,7369.5,0.546059929874816,0.277301616131214,1.0,0,0,0,7.870626,0.0
NonResidential,Hotel,98101,7,DOWNTOWN,47.61317,-122.33393,Hotel,61.0,94.80000305,8387933.0,False,Compliant,295.86,0,0.6931471805599453,11.33715440673783,15.453552059287318,14.991963747491976,11.547974025246633,8.438799123988225,2.4849066497880004,9.620129451564402,Early_Code,0,0,1,20,9415.09090909091,0.38660907281925116,0.0,0.8099183129598517,1,0,0,2.07132,1.03566
NonResidential,Hotel,98101,7,DOWNTOWN,47.61393,-122.3381,Hotel,43.0,96.0,72587024.0,False,Compliant,2089.28,0,0.6931471805599453,13.536449880916702,14.216834436338539,17.71802176936792,13.770629294080045,0.0,3.6250520835977693,0.0,Mid_Century,0,1,1,47,23319.756097560974,0.6823074052464253,0.29711307629859574,0.791219629540534,1,0,1,44.93717,9.5611
NonResidential,Hotel,98101,7,DOWNTOWN,47.61412,-122.33664,Hotel,56.0,110.8000031,6794584.0,False,Compliant,286.43,0,0.6931471805599453,11.023877640745798,14.409507896643106,14.833969716195812,11.023877640745798,0.0,2.3978952727983707,0.0,Historic,0,1,0,90,6132.0,0.40751928300540546,0.32591344076399675,1.0,0,0,0,5.5188,0.0
NonResidential,Hotel,98121,7,DOWNTOWN,47.61375,-122.34047,Hotel,75.0,114.8000031,14172606.0,False,Compliant,505.01,0,0.6931471805599453,11.723559092466278,15.99071660804375,15.496079215005192,12.075855753873482,0.0,2.9444389791664403,11.127410032169685,Mid_Century,0,0,1,36,9754.444444444445,0.3788016826263286,0.0,0.7030698257204693,1,0,0,6.32088,1.7558
Nonresidential COS,Other,98101,7,DOWNTOWN,47.61623,-122.33657,Police Station,72.0,136.1000061,12086616.0,False,Compliant,301.81,0,0.6931471805599453,11.394490967158449,15.366298285597683,15.81312295348912,11.48544120936798,0.0,1.0986122886681096,0.0,Early_Code,1,0,1,17,48644.0,0.609884023783001,0.0,0.9130622481703807,0,0,0,1.653896,0.0
NonResidential,Hotel,98101,7,DOWNTOWN,47.6139,-122.33283,Hotel,27.0,70.80000305,5758795.0,False,Compliant,176.14,0,0.6931471805599453,11.306552989656216,14.8964953919321,14.84912768791841,11.326704314635162,0.0,2.4849066497880004,0.0,Historic,0,0,0,90,7546.181818181818,0.4881602835315374,0.0,0.9800501156515035,0,0,1,7.47072,0.0
NonResidential,Other,98101,7,DOWNTOWN,47.61327,-122.33136,Other - Entertainment/Public Assembly,72.0,61.29999924,6298131.5,False,Compliant,221.51,0,0.6931471805599453,11.540170913860424,12.861491998029148,15.106575136047933,11.540170913860424,0.0,2.1972245773362196,0.0,Historic,1,1,0,90,12845.125,0.5774180802671396,0.36142251078752485,1.0,0,0,0,9.24849,0.0
NonResidential,Hotel,98104,7,DOWNTOWN,47.60294,-122.33263,Hotel,43.0,83.69999695,13723820.0,False,Compliant,392.16,0,0.6931471805599453,12.007530239208668,15.6758474123768,15.803099934011076,12.007530239208668,0.0,2.772588722239781,0.0,Historic,0,0,0,112,10932.266666666666,0.5317702359838588,0.0,1.0,0,0,1,18.366208,0.0
NonResidential,Hotel,98101,7,DOWNTOWN,47.60695,-122.33414,Hotel,30.0,119.5999985,16016644.0,False,Compliant,691.26,0,0.6931471805599453,11.804736501505687,15.33979376871991,15.638062372513799,11.9392645217297,0.0,2.4849066497880004,0.0,Mid_Century,0,1,1,47,13923.90909090909,0.386324813113159,0.32698269999632884,0.8741275634454797,0,0,1,7.198661,0.0
NonResidential,Hotel,98101,7,DOWNTOWN,47.60713,-122.33323,Hotel,36.0,80.0,26941110.0,False,Compliant,740.97,0,0.6931471805599453,12.726772359619336,14.865877883813681,16.71048559339122,12.716429159281265,0.0,3.258096538021482,0.0,Early_Code,0,1,1,18,13327.04,0.6712065315794338,0.22268423609866111,1.0,0,0,1,5.997168,0.0
NonResidential,Hotel,98104,7,DOWNTOWN,47.60699,-122.33346,Hotel,48.0,101.5,6596057.5,False,Compliant,328.23,0,0.6931471805599453,11.082296383198514,15.09552898455831,14.110417220106736,11.082296383198514,0.0,2.302585092994046,0.0,Historic,0,1,0,88,7223.222222222223,0.2036064725027033,0.2511125016724005,1.0,0,0,1,5.720792,0.0
NonResidential,Hotel,98101,7,DOWNTOWN,47.60809,-122.33212,Hotel,58.0,75.5,22325364.0,False,Compliant,648.62,0,0.6931471805599453,12.596464724140818,15.222450573286228,16.447700360001587,12.66334874732981,0.0,3.5263605246161616,10.961295207644392,Mid_Century,0,1,1,36,9574.30303030303,0.6227975946999117,0.19429642894064347,0.9353034638172887,0,0,0,11.374272,0.0
NonResidential,Hotel,98101,7,DOWNTOWN,47.60755,-122.33244,Hotel,35.0,159.5,10750010.0,False,Compliant,511.39,0,0.6931471805599453,11.11826675682705,14.531785224503658,15.158993968735313,11.431617790897278,0.0,2.4849066497880004,10.134638955251866,Historic,0,1,1,94,8380.90909090909,0.3564991102333858,0.4531016715333288,0.7309903460245146,1,0,1,8.66586,0.9219
Nonresidential COS,Other,98154,7,DOWNTOWN,47.60649,-122.33297,Library,72.0,50.79999924,18588860.0,False,Compliant,181.38,0,0.6931471805599453,12.80741698836436,0.0,16.697586780633,12.928781055513184,6.980075940561763,2.4849066497880004,10.799595985047786,Modern,1,1,1,12,37454.545454545456,0.9603223113197904,0.0396775003953981,0.8857111650485436,0,0,0,4.944,0.0
NonResidential,Other,98104,7,DOWNTOWN,47.60546,-122.33279,Fitness Center/Health Club/Gym,72.0,76.59999847,9956396.0,False,Compliant,433.86,0,0.6931471805599453,11.407576060361786,13.721398759813733,15.30928371460221,11.55129966608712,0.0,1.9459101490553132,10.596659732783579,Historic,1,1,0,86,17318.5,0.44733736986757056,0.4612459669141324,0.8661258192106707,0,0,0,8.936346,0.0
NonResidential,Hotel,98104,7,DOWNTOWN,47.60681,-122.33078,Hotel,31.0,96.30000305,33556756.0,False,Compliant,802.89,0,0.6931471805599453,12.760905585289162,16.32766557600529,16.870703387837985,12.939118194198793,0.0,3.367295829986474,11.350418300109132,Early_Code,0,0,1,33,14867.17857142857,0.6325187392964922,0.0,0.8367641088591601,1,0,1,13.737273,4.16281
NonResidential,Mixed Use Property,98104,7,DOWNTOWN,47.60515,-122.33159,Social/Meeting Hall,65.5,132.3999939,7606084.5,False,Compliant,273.02,0,0.6931471805599453,9.707655133714226,14.540685335442967,15.1412031720061,10.95872250123467,9.184201714366488,1.791759469228055,9.648982324778904,Historic,1,1,0,109,11490.4,0.4949709669935957,0.23352381570307298,0.28618672979182624,1,0,0,6.262268,0.57452
NonResidential,Hotel,98104,7,DOWNTOWN,47.60376,-122.33194,Hotel,39.0,97.30000305,10154608.0,False,Compliant,349.32,0,0.6931471805599453,11.555534661493144,13.611405861954502,15.591880716870339,11.555534661493144,0.0,2.3978952727983707,0.0,Historic,0,1,0,100,10435.2,0.5818412685157319,0.33786257431109107,1.0,0,0,1,10.4352,0.0
