building_id,primarypropertytype,yearbuilt,building_age,propertygfatotal,propertygfatotal_log,numberoffloors,numberoffloors_log,energystarscore,energystar_missing,elec_ratio,uses_gas,uses_steam,steam_ratio,has_parking,is_multipurpose,uses_clim,has_generator,gfa_per_floor,eui_kwh_m2_an,siteenergyuse_kwh_an,totalghgemissions,emission_factor_grid,context,climate_zone
LME_0001,Bureaux & Administration,2015,9,7312,8.8974,3,1.3863,68,0,0.899,0,0,0.0,1,0,1,1,2437.3,131.5,961229.0,611.29,0.636,Lomé,Tropical_Aw
LME_0002,Bureaux & Administration,2002,22,3228,8.0799,1,0.6931,39,0,0.953,0,0,0.0,1,0,1,1,3228.0,225.6,728383.0,504.98,0.693,Lomé,Tropical_Aw
LME_0003,Bureaux & Administration,2011,13,3179,8.0646,3,1.3863,60,0,0.892,0,0,0.0,0,1,1,1,1059.7,154.4,490933.0,327.63,0.667,Lomé,Tropical_Aw
LME_0004,Bureaux & Administration,2009,15,4893,8.4958,2,1.0986,43,0,0.946,0,0,0.0,1,1,0,1,2446.5,223.7,1094465.0,718.98,0.657,Lomé,Tropical_Aw
LME_0005,Bureaux & Administration,2005,19,4480,8.4076,2,1.0986,49,0,0.923,0,0,0.0,0,0,1,1,2240.0,215.2,963948.0,571.71,0.593,Lomé,Tropical_Aw
LME_0006,Bureaux & Administration,1993,31,9998,9.2102,3,1.3863,51,0,0.984,0,0,0.0,0,0,1,1,3332.7,167.5,1674323.0,945.46,0.565,Lomé,Tropical_Aw
LME_0007,Bureaux & Administration,1993,31,4639,8.4425,4,1.6094,34,0,0.947,0,0,0.0,1,1,1,1,1159.8,236.4,1096808.0,723.65,0.66,Lomé,Tropical_Aw
LME_0008,Bureaux & Administration,2008,16,4681,8.4515,2,1.0986,38,0,0.989,0,0,0.0,0,0,1,1,2340.5,222.8,1042965.0,604.48,0.58,Lomé,Tropical_Aw
LME_0009,Bureaux & Administration,2017,7,10222,9.2324,3,1.3863,51,0,0.988,0,0,0.0,0,1,1,1,3407.3,225.5,2304852.0,1449.24,0.629,Lomé,Tropical_Aw
LME_0010,Bureaux & Administration,1999,25,3891,8.2667,1,0.6931,50,0,0.894,0,0,0.0,1,0,1,1,3891.0,203.5,791864.0,565.64,0.714,Lomé,Tropical_Aw
LME_0011,Bureaux & Administration,2001,23,1058,6.9651,3,1.3863,48,0,0.94,0,0,0.0,0,0,1,0,352.7,191.5,202562.0,121.21,0.598,Lomé,Tropical_Aw
LME_0012,Bureaux & Administration,2016,8,3508,8.1631,3,1.3863,91,0,0.909,0,0,0.0,1,0,1,1,1169.3,129.3,453648.0,294.57,0.649,Lomé,Tropical_Aw
LME_0013,Bureaux & Administration,1986,38,2225,7.708,2,1.0986,28,0,0.882,0,0,0.0,1,0,1,1,1112.5,276.8,615912.0,408.77,0.664,Lomé,Tropical_Aw
LME_0014,Bureaux & Administration,1993,31,2364,7.7685,2,1.0986,75,0,0.991,0,0,0.0,0,1,1,1,1182.0,156.1,369129.0,233.06,0.631,Lomé,Tropical_Aw
LME_0015,Bureaux & Administration,2003,21,6050,8.708,3,1.3863,38,0,0.988,0,0,0.0,1,1,1,1,2016.7,238.9,1445558.0,833.57,0.577,Lomé,Tropical_Aw
LME_0016,Bureaux & Administration,2014,10,9681,9.178,3,1.3863,67,0,0.958,0,0,0.0,0,0,1,1,3227.0,128.0,1239581.0,840.35,0.678,Lomé,Tropical_Aw
LME_0017,Bureaux & Administration,1991,33,9486,9.1577,4,1.6094,80,0,0.909,0,0,0.0,0,0,1,0,2371.5,136.5,1294589.0,752.69,0.581,Lomé,Tropical_Aw
LME_0018,Bureaux & Administration,2015,9,7558,8.9305,2,1.0986,64,0,0.914,1,0,0.0,0,0,1,1,3779.0,173.3,1309501.0,769.8,0.609,Lomé,Tropical_Aw
LME_0019,Bureaux & Administration,2004,20,3422,8.1383,3,1.3863,54,0,0.9,0,0,0.0,0,0,1,1,1140.7,166.2,568712.0,376.95,0.663,Lomé,Tropical_Aw
LME_0020,Bureaux & Administration,2020,4,5557,8.623,3,1.3863,69,0,0.969,0,0,0.0,0,0,1,1,1852.3,126.9,705160.0,469.11,0.665,Lomé,Tropical_Aw
LME_0021,Bureaux & Administration,2008,16,5009,8.5192,3,1.3863,42,0,0.964,0,0,0.0,0,1,1,1,1669.7,203.8,1021084.0,691.05,0.677,Lomé,Tropical_Aw
LME_0022,Bureaux & Administration,2001,23,4066,8.3107,5,1.7918,77,0,0.951,1,0,0.0,0,1,1,0,813.2,109.5,445316.0,239.21,0.575,Lomé,Tropical_Aw
LME_0023,Bureaux & Administration,1988,36,2739,7.9157,3,1.3863,23,0,0.956,0,0,0.0,1,0,0,1,913.0,304.5,834013.0,593.96,0.712,Lomé,Tropical_Aw
LME_0024,Bureaux & Administration,1996,28,2972,7.9973,2,1.0986,36,0,0.899,0,0,0.0,0,0,1,1,1486.0,262.5,780065.0,434.46,0.557,Lomé,Tropical_Aw
LME_0025,Bureaux & Administration,2006,18,26842,10.1978,4,1.6094,69,0,0.971,1,0,0.0,0,1,1,1,6710.5,153.0,4107682.0,2205.26,0.556,Lomé,Tropical_Aw
LME_0026,Bureaux & Administration,1996,28,9133,9.1198,1,0.6931,63,0,0.932,0,0,0.0,0,0,1,1,9133.0,148.1,1352242.0,829.71,0.614,Lomé,Tropical_Aw
LME_0027,Bureaux & Administration,1996,28,6795,8.8241,3,1.3863,62,0,0.883,0,0,0.0,0,0,1,1,2265.0,200.2,1360223.0,802.52,0.59,Lomé,Tropical_Aw
LME_0028,Bureaux & Administration,2022,2,1825,7.5099,3,1.3863,54,0,0.989,0,0,0.0,1,0,1,1,608.3,190.3,347303.0,206.88,0.596,Lomé,Tropical_Aw
LME_0029,Bureaux & Administration,2014,10,2987,8.0024,2,1.0986,52,0,0.968,0,0,0.0,0,0,1,1,1493.5,210.6,629016.0,399.65,0.635,Lomé,Tropical_Aw
LME_0030,Bureaux & Administration,2003,21,8008,8.9883,4,1.6094,65,0,0.992,0,0,0.0,0,0,1,1,2002.0,161.0,1289506.0,773.19,0.6,Lomé,Tropical_Aw
LME_0031,Bureaux & Administration,2020,4,3233,8.0815,3,1.3863,47,0,0.994,0,0,0.0,0,0,1,1,1077.7,182.4,589549.0,361.68,0.613,Lomé,Tropical_Aw
LME_0032,Bureaux & Administration,1991,33,1860,7.5289,3,1.3863,48,0,0.939,0,0,0.0,1,1,1,1,620.0,223.6,415888.0,251.42,0.605,Lomé,Tropical_Aw
LME_0033,Bureaux & Administration,1992,32,8031,8.9912,4,1.6094,36,0,0.889,0,0,0.0,0,0,1,1,2007.8,205.9,1653836.0,983.46,0.595,Lomé,Tropical_Aw
LME_0034,Bureaux & Administration,2017,7,1594,7.3746,2,1.0986,61,0,0.947,0,0,0.0,0,1,1,1,797.0,164.6,262378.0,158.71,0.605,Lomé,Tropical_Aw
LME_0035,Bureaux & Administration,2011,13,13587,9.5169,3,1.3863,60,0,0.914,0,0,0.0,1,0,1,0,4529.0,173.9,2362686.0,1512.32,0.64,Lomé,Tropical_Aw
LME_0036,Bureaux & Administration,2012,12,4964,8.5102,3,1.3863,58,0,0.963,0,0,0.0,0,1,1,1,1654.7,196.9,977517.0,600.64,0.614,Lomé,Tropical_Aw
LME_0037,Bureaux & Administration,2003,21,4332,8.374,2,1.0986,72,0,0.997,0,0,0.0,0,1,1,1,2166.0,154.1,667664.0,418.97,0.628,Lomé,Tropical_Aw
LME_0038,Bureaux & Administration,2021,3,3097,8.0385,2,1.0986,28,0,0.984,0,0,0.0,1,0,1,1,1548.5,238.1,737281.0,468.01,0.635,Lomé,Tropical_Aw
LME_0039,Bureaux & Administration,2007,17,6127,8.7206,3,1.3863,77,0,0.887,0,0,0.0,0,0,1,0,2042.3,117.4,719219.0,424.36,0.59,Lomé,Tropical_Aw
LME_0040,Bureaux & Administration,2006,18,5103,8.5378,2,1.0986,59,0,0.895,0,0,0.0,1,1,1,1,2551.5,208.0,1061361.0,714.32,0.673,Lomé,Tropical_Aw
LME_0041,Bureaux & Administration,2016,8,5966,8.694,4,1.6094,48,0,0.946,0,0,0.0,0,1,1,1,1491.5,219.2,1307872.0,815.3,0.623,Lomé,Tropical_Aw
LME_0042,Bureaux & Administration,2005,19,14689,9.5949,4,1.6094,90,0,0.932,0,0,0.0,0,0,1,1,3672.2,111.8,1642868.0,978.6,0.596,Lomé,Tropical_Aw
LME_0043,Bureaux & Administration,2001,23,4857,8.4884,3,1.3863,51,0,0.939,0,0,0.0,1,0,1,1,1619.0,203.2,986831.0,610.22,0.618,Lomé,Tropical_Aw
